model,case,token,count,proportion
BART,C3,).,3,0.08823529411764706
BART,C3,.,3,0.08823529411764706
BART,C3,(,2,0.058823529411764705
BART,C3,but,2,0.058823529411764705
BART,C3,et,2,0.058823529411764705
BART,C3,well,2,0.058823529411764705
BART,C3,",",1,0.029411764705882353
BART,C3,2007,1,0.029411764705882353
BART,C3,By,1,0.029411764705882353
BART,C3,Recently,1,0.029411764705882353
BART,C3,ably,1,0.029411764705882353
BART,C3,achieve,1,0.029411764705882353
BART,C3,and,1,0.029411764705882353
BART,C3,highlighted,1,0.029411764705882353
BART,C3,lacks,1,0.029411764705882353
BART,C3,largest,1,0.029411764705882353
BART,C3,make,1,0.029411764705882353
BART,C3,not,1,0.029411764705882353
BART,C3,our,1,0.029411764705882353
BART,C3,outper,1,0.029411764705882353
BART,C3,satisfactory,1,0.029411764705882353
BART,C3,solution,1,0.029411764705882353
BART,C3,sophisticated,1,0.029411764705882353
BART,C3,state,1,0.029411764705882353
BART,C3,the,1,0.029411764705882353
BART,C3,weaknesses,1,0.029411764705882353
BART,C4,.,40,0.07920792079207921
BART,C4,).,26,0.05148514851485148
BART,C4,2024,18,0.03564356435643564
BART,C4,not,15,0.0297029702970297
BART,C4,",",13,0.02574257425742574
BART,C4,[,12,0.023762376237623763
BART,C4,(,11,0.02178217821782178
BART,C4,2025,11,0.02178217821782178
BART,C4,),10,0.019801980198019802
BART,C4,Despite,9,0.01782178217821782
BART,C4,],9,0.01782178217821782
BART,C4,demonstrates,9,0.01782178217821782
BART,C4,learning,7,0.013861386138613862
BART,C4,overlook,7,0.013861386138613862
BART,C4,et,6,0.011881188118811881
BART,C4,does,5,0.009900990099009901
BART,C4,unnecessary,5,0.009900990099009901
BART,C4,2003,4,0.007920792079207921
BART,C4,2021,4,0.007920792079207921
BART,C4,The,4,0.007920792079207921
BART,C4,continues,4,0.007920792079207921
BART,C4,s,4,0.007920792079207921
BART,C4,study,4,0.007920792079207921
BART,C4,suffered,4,0.007920792079207921
BART,C4,)',3,0.005940594059405941
BART,C4,1996,3,0.005940594059405941
BART,C4,2019,3,0.005940594059405941
BART,C4,2022,3,0.005940594059405941
BART,C4,Collins,3,0.005940594059405941
BART,C4,across,3,0.005940594059405941
BART,C4,but,3,0.005940594059405941
BART,C4,cost,3,0.005940594059405941
BART,C4,focus,3,0.005940594059405941
BART,C4,impractical,3,0.005940594059405941
BART,C4,inadequate,3,0.005940594059405941
BART,C4,inefficient,3,0.005940594059405941
BART,C4,innovative,3,0.005940594059405941
BART,C4,is,3,0.005940594059405941
BART,C4,outdated,3,0.005940594059405941
BART,C4,problems,3,0.005940594059405941
BART,C4,states,3,0.005940594059405941
BART,C4,versatility,3,0.005940594059405941
BART,C4,".,",2,0.0039603960396039604
BART,C4,1990,2,0.0039603960396039604
BART,C4,1997,2,0.0039603960396039604
BART,C4,2005,2,0.0039603960396039604
BART,C4,23,2,0.0039603960396039604
BART,C4,3,2,0.0039603960396039604
BART,C4,4,2,0.0039603960396039604
BART,C4,5,2,0.0039603960396039604
BART,C4,As,2,0.0039603960396039604
BART,C4,Deep,2,0.0039603960396039604
BART,C4,In,2,0.0039603960396039604
BART,C4,adoption,2,0.0039603960396039604
BART,C4,and,2,0.0039603960396039604
BART,C4,complexity,2,0.0039603960396039604
BART,C4,crucial,2,0.0039603960396039604
BART,C4,excessive,2,0.0039603960396039604
BART,C4,guaranteed,2,0.0039603960396039604
BART,C4,high,2,0.0039603960396039604
BART,C4,improve,2,0.0039603960396039604
BART,C4,improvements,2,0.0039603960396039604
BART,C4,incompatible,2,0.0039603960396039604
BART,C4,over,2,0.0039603960396039604
BART,C4,overhead,2,0.0039603960396039604
BART,C4,proposed,2,0.0039603960396039604
BART,C4,provide,2,0.0039603960396039604
BART,C4,reduced,2,0.0039603960396039604
BART,C4,substantial,2,0.0039603960396039604
BART,C4,transparency,2,0.0039603960396039604
BART,C4,unrealistic,2,0.0039603960396039604
BART,C4,unreliable,2,0.0039603960396039604
BART,C4,well,2,0.0039603960396039604
BART,C4,&,1,0.0019801980198019802
BART,C4,"),",1,0.0019801980198019802
BART,C4,1,1,0.0019801980198019802
BART,C4,11,1,0.0019801980198019802
BART,C4,16,1,0.0019801980198019802
BART,C4,1992,1,0.0019801980198019802
BART,C4,1993,1,0.0019801980198019802
BART,C4,1995,1,0.0019801980198019802
BART,C4,2,1,0.0019801980198019802
BART,C4,20,1,0.0019801980198019802
BART,C4,2006,1,0.0019801980198019802
BART,C4,2007,1,0.0019801980198019802
BART,C4,2016,1,0.0019801980198019802
BART,C4,21,1,0.0019801980198019802
BART,C4,31,1,0.0019801980198019802
BART,C4,34,1,0.0019801980198019802
BART,C4,36,1,0.0019801980198019802
BART,C4,=,1,0.0019801980198019802
BART,C4,?,1,0.0019801980198019802
BART,C4,AI,1,0.0019801980198019802
BART,C4,Another,1,0.0019801980198019802
BART,C4,F,1,0.0019801980198019802
BART,C4,However,1,0.0019801980198019802
BART,C4,LOC,1,0.0019801980198019802
BART,C4,On,1,0.0019801980198019802
BART,C4,Osborne,1,0.0019801980198019802
BART,C4,Recently,1,0.0019801980198019802
BART,C4,Second,1,0.0019801980198019802
BART,C4,T,1,0.0019801980198019802
BART,C4,Table,1,0.0019801980198019802
BART,C4,To,1,0.0019801980198019802
BART,C4,V,1,0.0019801980198019802
BART,C4,We,1,0.0019801980198019802
BART,C4,While,1,0.0019801980198019802
BART,C4,].,1,0.0019801980198019802
BART,C4,achieved,1,0.0019801980198019802
BART,C4,achieves,1,0.0019801980198019802
BART,C4,actively,1,0.0019801980198019802
BART,C4,adapted,1,0.0019801980198019802
BART,C4,advancements,1,0.0019801980198019802
BART,C4,al,1,0.0019801980198019802
BART,C4,algorithms,1,0.0019801980198019802
BART,C4,all,1,0.0019801980198019802
BART,C4,art,1,0.0019801980198019802
BART,C4,atable,1,0.0019801980198019802
BART,C4,authors,1,0.0019801980198019802
BART,C4,best,1,0.0019801980198019802
BART,C4,board,1,0.0019801980198019802
BART,C4,breakthrough,1,0.0019801980198019802
BART,C4,bs,1,0.0019801980198019802
BART,C4,cannot,1,0.0019801980198019802
BART,C4,case,1,0.0019801980198019802
BART,C4,compelling,1,0.0019801980198019802
BART,C4,competitive,1,0.0019801980198019802
BART,C4,compromised,1,0.0019801980198019802
BART,C4,concise,1,0.0019801980198019802
BART,C4,consistent,1,0.0019801980198019802
BART,C4,contrasts,1,0.0019801980198019802
BART,C4,convenient,1,0.0019801980198019802
BART,C4,convinc,1,0.0019801980198019802
BART,C4,deep,1,0.0019801980198019802
BART,C4,definitive,1,0.0019801980198019802
BART,C4,dependence,1,0.0019801980198019802
BART,C4,developed,1,0.0019801980198019802
BART,C4,discredited,1,0.0019801980198019802
BART,C4,diverse,1,0.0019801980198019802
BART,C4,effectively,1,0.0019801980198019802
BART,C4,eleg,1,0.0019801980198019802
BART,C4,eliminated,1,0.0019801980198019802
BART,C4,enabled,1,0.0019801980198019802
BART,C4,enhances,1,0.0019801980198019802
BART,C4,entropy,1,0.0019801980198019802
BART,C4,exemplary,1,0.0019801980198019802
BART,C4,expands,1,0.0019801980198019802
BART,C4,fail,1,0.0019801980198019802
BART,C4,fails,1,0.0019801980198019802
BART,C4,fairly,1,0.0019801980198019802
BART,C4,falls,1,0.0019801980198019802
BART,C4,features,1,0.0019801980198019802
BART,C4,flawless,1,0.0019801980198019802
BART,C4,follows,1,0.0019801980198019802
BART,C4,found,1,0.0019801980198019802
BART,C4,fully,1,0.0019801980198019802
BART,C4,good,1,0.0019801980198019802
BART,C4,growing,1,0.0019801980198019802
BART,C4,highly,1,0.0019801980198019802
BART,C4,however,1,0.0019801980198019802
BART,C4,iang,1,0.0019801980198019802
BART,C4,implemented,1,0.0019801980198019802
BART,C4,improves,1,0.0019801980198019802
BART,C4,improving,1,0.0019801980198019802
BART,C4,incomplete,1,0.0019801980198019802
BART,C4,ineffective,1,0.0019801980198019802
BART,C4,inspire,1,0.0019801980198019802
BART,C4,instability,1,0.0019801980198019802
BART,C4,introduced,1,0.0019801980198019802
BART,C4,ized,1,0.0019801980198019802
BART,C4,limitations,1,0.0019801980198019802
BART,C4,log,1,0.0019801980198019802
BART,C4,manipulation,1,0.0019801980198019802
BART,C4,meticulously,1,0.0019801980198019802
BART,C4,minimized,1,0.0019801980198019802
BART,C4,mistakes,1,0.0019801980198019802
BART,C4,models,1,0.0019801980198019802
BART,C4,needs,1,0.0019801980198019802
BART,C4,new,1,0.0019801980198019802
BART,C4,novel,1,0.0019801980198019802
BART,C4,observations,1,0.0019801980198019802
BART,C4,on,1,0.0019801980198019802
BART,C4,outper,1,0.0019801980198019802
BART,C4,outstanding,1,0.0019801980198019802
BART,C4,overs,1,0.0019801980198019802
BART,C4,paradigm,1,0.0019801980198019802
BART,C4,popular,1,0.0019801980198019802
BART,C4,pressing,1,0.0019801980198019802
BART,C4,promising,1,0.0019801980198019802
BART,C4,promotes,1,0.0019801980198019802
BART,C4,publicly,1,0.0019801980198019802
BART,C4,rare,1,0.0019801980198019802
BART,C4,rarely,1,0.0019801980198019802
BART,C4,reasonable,1,0.0019801980198019802
BART,C4,recent,1,0.0019801980198019802
BART,C4,redundant,1,0.0019801980198019802
BART,C4,reliance,1,0.0019801980198019802
BART,C4,required,1,0.0019801980198019802
BART,C4,risks,1,0.0019801980198019802
BART,C4,robust,1,0.0019801980198019802
BART,C4,satisfying,1,0.0019801980198019802
BART,C4,seminal,1,0.0019801980198019802
BART,C4,sentence,1,0.0019801980198019802
BART,C4,simplest,1,0.0019801980198019802
BART,C4,still,1,0.0019801980198019802
BART,C4,strong,1,0.0019801980198019802
BART,C4,stronger,1,0.0019801980198019802
BART,C4,structure,1,0.0019801980198019802
BART,C4,text,1,0.0019801980198019802
BART,C4,that,1,0.0019801980198019802
BART,C4,thoroughly,1,0.0019801980198019802
BART,C4,to,1,0.0019801980198019802
BART,C4,trouble,1,0.0019801980198019802
BART,C4,unacceptable,1,0.0019801980198019802
BART,C4,underscores,1,0.0019801980198019802
BART,C4,unfair,1,0.0019801980198019802
BART,C4,unpredictable,1,0.0019801980198019802
BART,C4,unstable,1,0.0019801980198019802
BART,C4,useful,1,0.0019801980198019802
BART,C4,which,1,0.0019801980198019802
BART,C4,widely,1,0.0019801980198019802
DeepSeek,C3,[,5,0.11627906976744186
DeepSeek,C3,not,3,0.06976744186046512
DeepSeek,C3,(,2,0.046511627906976744
DeepSeek,C3,but,2,0.046511627906976744
DeepSeek,C3,.,1,0.023255813953488372
DeepSeek,C3,Brown,1,0.023255813953488372
DeepSeek,C3,By,1,0.023255813953488372
DeepSeek,C3,Error,1,0.023255813953488372
DeepSeek,C3,However,1,0.023255813953488372
DeepSeek,C3,Moreover,1,0.023255813953488372
DeepSeek,C3,On,1,0.023255813953488372
DeepSeek,C3,Zhu,1,0.023255813953488372
DeepSeek,C3,achieved,1,0.023255813953488372
DeepSeek,C3,achieves,1,0.023255813953488372
DeepSeek,C3,adopt,1,0.023255813953488372
DeepSeek,C3,applications,1,0.023255813953488372
DeepSeek,C3,between,1,0.023255813953488372
DeepSeek,C3,cannot,1,0.023255813953488372
DeepSeek,C3,competitive,1,0.023255813953488372
