model,low_correct_neutral,low_wrong_neutral,high_correct_neutral,high_wrong_neutral,low_total_neutral,high_total_neutral,low_neutral_recall,high_neutral_recall,recall_difference_high_minus_low,chi2,chi2_p,dof,min_expected_count,fisher_odds_ratio,fisher_p,odds_ratio_correct_low_vs_high,recommended_test,chi2_p_bh,chi2_significant_bh,fisher_p_bh,fisher_significant_bh
BART,337,9,187,20,346,207,0.973988,0.903382,-0.070607,12.993774,0.000313,1,10.855335,4.004753,0.000558,4.004753,Chi-square,0.000938,True,0.001675,True
T5,338,8,192,15,346,207,0.976879,0.927536,-0.049342,7.910575,0.004915,1,8.609403,3.300781,0.007272,3.300781,Chi-square,0.009829,True,0.014544,True
SciBERT,337,9,192,15,346,207,0.973988,0.927536,-0.046452,6.731586,0.009472,1,8.983725,2.925347,0.015832,2.925347,Chi-square,0.014208,True,0.023748,True
RoBERTa,329,17,178,29,346,207,0.950867,0.859903,-0.090964,14.052116,0.000178,1,17.218807,3.153007,0.000354,3.153007,Chi-square,0.000938,True,0.001675,True
DeepSeek,318,28,183,24,346,207,0.919075,0.884058,-0.035017,1.864201,0.172141,1,19.464738,1.489461,0.178366,1.489461,Chi-square,0.172141,False,0.178366,False
LLaMA3,343,3,201,6,346,207,0.991329,0.971014,-0.020315,3.338591,0.067673,1,3.368897,3.412935,0.085898,3.412935,Fisher,0.081207,False,0.103078,False
