Model,Intercept_B,is_citation_B,is_citation_p,Length_B,Length_p,Negation_B,Negation_p,Depth_B,Depth_p
BART,-9.041581140092962,4.484181619101831,3.8746220607543574e-10,0.015820326825454745,0.0002417794959199143,0.4159818753668364,0.24428508699439766,1.3743437937188208,1.3698661552695735e-06
T5,-9.368498477016058,5.086256072391964,4.3568470547493906e-07,0.020655662103330082,1.0409864512517136e-06,0.2523764530322026,0.4678140738311912,0.9161572349692417,0.00020904773263648703
SciBERT,-24.04386126534927,20.104296212259655,0.9906562214260471,0.014849902868663726,0.00043508917775292685,-0.17473248732159619,0.6350473084438981,0.9156824349873338,0.00011093963092198745
RoBERTa,-25.899636215169195,21.87519871339321,0.9950438842226418,0.008804100462877296,0.033408274381417004,0.11078724895213371,0.7458896423201637,1.4212530363441396,1.5579528706325243e-08
DeepSeek,-7.763240034360626,3.5247819703695247,2.7180895731085097e-24,0.01368413479760071,0.000189778561525619,0.6247997864350773,0.02706525228744075,1.610370503934908,3.087346470015175e-11
LLaMA3,-8.329864326578514,4.943445596421279,9.131815635036061e-07,0.017240684495969917,6.524749540719935e-05,-0.5803588863481162,0.11374441952687002,0.10027867409157229,0.6148945422597363
