model,n_correct,n_error,HPI_P95_correct,HPI_P75_error,T_p75_error,T_p95_correct,T_balanced,T_used
BART,2090,66,2.524959544166781,2.50338688364662,2.50338688364662,2.524959544166781,2.514173213906701,2.50338688364662
DeepSeek,2051,105,2.531467421482335,2.3297751975218555,2.3297751975218555,2.531467421482335,2.4306213095020954,2.3297751975218555
LLaMA3,2080,76,2.532031595476114,2.2846983191602463,2.2846983191602463,2.532031595476114,2.40836495731818,2.2846983191602463
RoBERTa,2059,97,2.5242574986896855,2.384041667228658,2.384041667228658,2.5242574986896855,2.4541495829591717,2.384041667228658
SciBERT,2071,85,2.5267414704240467,2.352753729786125,2.352753729786125,2.5267414704240467,2.439747600105086,2.352753729786125
T5,2088,68,2.524637124859119,2.4877465810822876,2.4877465810822876,2.524637124859119,2.5061918529707032,2.4877465810822876
