model,low_correct_negative,low_wrong_negative,high_correct_negative,high_wrong_negative,low_total_negative,high_total_negative,low_negative_recall,high_negative_recall,recall_difference_high_minus_low,chi2,chi2_p,dof,min_expected_count,fisher_odds_ratio,fisher_p,odds_ratio_correct_low_vs_high,recommended_test,chi2_p_bh,chi2_significant_bh,fisher_p_bh,fisher_significant_bh
BART,141,6,72,5,147,77,0.959184,0.935065,-0.024119,0.629496,0.42754,1,3.78125,1.631944,0.517942,1.631944,Fisher,0.733244,False,0.880603,False
T5,142,5,73,4,147,77,0.965986,0.948052,-0.017934,0.421455,0.516212,1,3.09375,1.556164,0.497907,1.556164,Fisher,0.733244,False,0.880603,False
SciBERT,134,13,70,7,147,77,0.911565,0.909091,-0.002474,0.003803,0.950829,1,6.875,1.030769,1.0,1.030769,Chi-square,0.950829,False,1.0,False
RoBERTa,136,11,73,4,147,77,0.92517,0.948052,0.022882,0.42345,0.515221,1,5.15625,0.67746,0.587069,0.67746,Chi-square,0.733244,False,0.880603,False
DeepSeek,139,8,74,3,147,77,0.945578,0.961039,0.015461,0.258669,0.611036,1,3.78125,0.704392,0.752276,0.704392,Fisher,0.733244,False,0.902731,False
LLaMA3,135,12,73,4,147,77,0.918367,0.948052,0.029685,0.671329,0.412589,1,5.5,0.616438,0.586505,0.616438,Chi-square,0.733244,False,0.880603,False
