model,low_correct_positive,low_wrong_positive,high_correct_positive,high_wrong_positive,low_total_positive,high_total_positive,low_positive_recall,high_positive_recall,recall_difference_high_minus_low,chi2,chi2_p,dof,min_expected_count,fisher_odds_ratio,fisher_p,odds_ratio_correct_low_vs_high,recommended_test,chi2_p_bh,chi2_significant_bh,fisher_p_bh,fisher_significant_bh
BART,271,7,68,5,278,73,0.97482,0.931507,-0.043313,3.285007,0.069915,1,2.495726,2.846639,0.137965,2.846639,Fisher,0.131044,False,0.206948,False
T5,265,13,67,6,278,73,0.953237,0.917808,-0.035429,1.417443,0.233825,1,3.951567,1.825488,0.247043,1.825488,Fisher,0.233825,False,0.247043,False
SciBERT,263,15,65,8,278,73,0.946043,0.890411,-0.055632,2.922306,0.087363,1,4.783476,2.157949,0.108457,2.157949,Fisher,0.131044,False,0.206948,False
RoBERTa,270,8,66,7,278,73,0.971223,0.90411,-0.067113,6.365949,0.011633,1,3.119658,3.579545,0.019766,3.579545,Fisher,0.069799,False,0.100777,False
DeepSeek,264,14,64,9,278,73,0.94964,0.876712,-0.072928,5.021821,0.02503,1,4.783476,2.651786,0.033592,2.651786,Fisher,0.07509,False,0.100777,False
LLaMA3,255,23,63,10,278,73,0.917266,0.863014,-0.054252,1.997897,0.157518,1,6.863248,1.759834,0.176444,1.759834,Chi-square,0.189021,False,0.211733,False
