Model,Intercept_B,Gap_B,Gap_p,Depth_B,Depth_p,Interaction_B,Interaction_p,Negation_B,Negation_p,Narrative_B,Narrative_p,Length_B,Length_p
BART,-6.695289699284803,1.620039985660494,0.3970444817421701,2.5902320363668894,0.00090614164469453,-0.20896731911483685,0.9161358738333621,1.097808428452937,0.027853172282849985,0.3777914392600221,0.20817118181917615,0.016895842372313372,0.015386688687755603
T5,-4.555154619710344,-2.2704477664543896,0.11182782014879333,1.01727301979153,0.07919662547483526,1.4920759074585308,0.3302293356258912,0.940697896466144,0.04028174185215203,0.4584770357901724,0.11023510910780325,0.01782241888296356,0.009507517034732653
SciBERT,-5.135669967262786,0.939522661313665,0.510399713922761,1.5633304955231333,0.0005173708298420027,-0.434316668623525,0.7759075602489588,0.11039397586206973,0.815779623405906,0.6533445647120246,0.0089090371434672,0.01620991748076067,0.012465192385913702
RoBERTa,-6.192431591530921,4.282478764055818,0.00012961451175459777,2.332570482584663,1.3758911667307946e-05,-1.3574802169503475,0.26658049960655883,0.9538353208506014,0.02565816276866399,0.66624924166777,0.008475904912060647,0.011370687343616173,0.08786577978767433
DeepSeek,-5.0314387668964775,0.9628615960947107,0.38181709923774043,1.6244395393731652,0.00044141367760871874,0.010391784054836234,0.9931066807595236,0.5715781505350638,0.14988533545043534,0.22440998508969082,0.36356706527642024,0.016404227833977165,0.005961375008733989
LLaMA3,-4.739027768504468,0.9653782548191628,0.3338342952004474,0.6349384207705695,0.15892759750882646,0.35345894222941515,0.7584851512817397,-0.1843881783659542,0.7008203449283726,0.2999854037029542,0.2935427403690911,0.02052863635741045,0.001893111097801482
