model,test,chi2,p_value,dof,cramers_v,n_total,min_expected_count,p_value_bh
RoBERTa,chi_square_independence,58.40167018319197,2.599006308311399e-11,5,0.32916848684707767,539,0.26159554730983303,1.5594037849868393e-10
SciBERT,chi_square_independence,13.413108073569097,0.01980024007370734,5,0.15775034921747655,539,1.202226345083488,0.059400720221122014
LLaMA3,chi_square_independence,12.360694396817552,0.030166105706390545,5,0.1514352754998311,539,1.5528756957328387,0.06033221141278109
BART,chi_square_independence,10.881973120475582,0.05377098282456125,5,0.14208866760881722,539,1.0092764378478665,0.08065647423684187
DeepSeek,chi_square_independence,9.342461366581158,0.09615979104324911,5,0.1323936180718543,533,1.452157598499062,0.11539174925189892
T5,chi_square_independence,2.596284132057618,0.7619297679004748,5,0.06940355666164999,539,0.287569573283859,0.7619297679004747
