,MODEL,ARCHITECTURE,BATCH SIZE,TRAINING TIME,WARMUP STEPS,WARMUP RATIO,LR,MAX LENGTH,SEED,EPOCHS USER INPUT,BEST EPOCH ,PATIENCE,WEIGHT DECAY,LOGGING STEPS,GRADIENT ACCUMULATION STEPS,MAX GRAD NORM,PRECISION,RECALL,MACRO-F1,ACCURACY,PRODUCED,GPU TYPE
ENCODERS,RoBERTa,roberta-base,16,43 minutes and 48 seconds,-,"0,1",2e-5,256,42,10,2,3,"0,02",50,-,-,"0,94","0,95","0,95","0,97",logits,L4 GPU RAM 22.5GB
,SciBERT,allenai/scibert_scivocab_uncased,16,34 minutes and 27 seconds,-,"0,1",2e-5,256,42,10,1,3,"0,02",50,-,-,"0,96","0,95","0,96","0,97",logits,L4 GPU RAM 22.5GB
DECODERS,DeepSeek,deepseek-ai/deepseek-llm-7b-base,16,251 minutes and 53 seconds,-,"0,05",2e-5,256,42,10,6,4,"0,02",50,8,"1,0","0,93","0,95","0,94","0,96",logits,A100 GPU RAM 80GB
,LLaMA3,meta-llama/Llama-3.1-8B,16,194 minutes and 25 seconds,-,"0,05",2e-5,256,42,10,3,4,"0,02",50,8,"1,0","0,97","0,95","0,96","0,97",logits,A100 GPU RAM 80GB
ENCODERS / DECODERS,BART,facebook/bart-large,16,189 minutes 46 seconds,-,"0,1",1e-5,256,42,10,2,4,"0,01",100,4,-,"0,96","0,96","0,96","0,97",logits,L4 GPU RAM 22.5GB
,Τ5,t5-large,16,130 minutes 29 seconds,-,"0,1",2e-5,256,42,10,3,4,"0,01",100,4,-,"0,96","0,96","0,96","0,97",generation,A100 GPU RAM 40GB
